978-0134685991,Effective Java,Joshua Bloch,Programming,Addison-Wesley
978-0321356680,Introduction to the Theory of Computation,Michael Sipser,Computer Science,Cengage Learning
978-1491950296,Designing Data-Intensive Applications,Martin Kleppmann,Data Management,O'Reilly Media
978-0132350884,Clean Code,Robert C. Martin,Programming,Prentice Hall
978-0201633610,Design Patterns,Erich Gamma,Richard Helm,Ralph Johnson,John Vlissides,Software Engineering,Addison-Wesley
978-0131103627,The C Programming Language,Brian W. Kernighan,Dennis M. Ritchie,Programming,Prentice Hall
978-0201485677,Refactoring,Martin Fowler,Programming,Addison-Wesley
978-0134494166,Modern Operating Systems,Andrew S. Tanenbaum,Computer Science,Pearson
978-0201616224,The Mythical Man-Month,Frederick P. Brooks Jr.,Software Engineering,Addison-Wesley
978-0596007126,Head First Design Patterns,Eric Freeman,Bert Bates,Kathy Sierra,Elisabeth Robson,Software Engineering,O'Reilly Media
